competition_id,competition_name,competition_country_name,season_id,season_name,match_id,match_date,kick_off,stadium,id,period,minute,second,timestamp,timezone,datetime,goal_datetime
11,La Liga,Spain,41,2008/2009,69249,2009-05-02,20:00:00.000,Estadio Santiago Bernabéu,fff7079d-d31f-495a-b238-5870f5bf2c73,2,74,17,00:29:17.286,Europe/Madrid,2009-05-02 18:00:00+00:00,2009-05-02 19:29:17+00:00
11,La Liga,Spain,21,2009/2010,69229,2009-09-12,18:00:00.000,Coliseum Alfonso Pérez,8c26119a-68e7-4a06-9b5d-621693193e7c,2,79,12,00:34:12.709,Europe/Madrid,2009-09-12 16:00:00+00:00,2009-09-12 17:34:12+00:00
11,La Liga,Spain,21,2009/2010,69292,2009-09-19,22:00:00.000,Spotify Camp Nou,eccef5ce-872a-479f-8320-025898eea494,1,15,52,00:15:52.778,Europe/Madrid,2009-09-19 20:00:00+00:00,2009-09-19 20:15:52+00:00
11,La Liga,Spain,21,2009/2010,69292,2009-09-19,22:00:00.000,Spotify Camp Nou,ad1a2a46-7c0a-4e14-baf2-760796b5b1bb,2,93,20,00:48:20.325,Europe/Madrid,2009-09-19 20:00:00+00:00,2009-09-19 21:48:20+00:00
11,La Liga,Spain,21,2009/2010,69254,2009-09-22,22:00:00.000,Campos de Sport de El Sardinero,b77f7651-42d2-4e42-aef7-17f47786350d,1,23,23,00:23:23.483,Europe/Madrid,2009-09-22 20:00:00+00:00,2009-09-22 20:23:23+00:00
11,La Liga,Spain,21,2009/2010,69254,2009-09-22,22:00:00.000,Campos de Sport de El Sardinero,09c4bf37-7c25-4d25-ae56-07986eb7d197,2,62,41,00:17:41.210,Europe/Madrid,2009-09-22 20:00:00+00:00,2009-09-22 21:17:41+00:00
11,La Liga,Spain,21,2009/2010,69253,2009-10-25,21:00:00.000,Spotify Camp Nou,22e3a0aa-54cb-4383-b668-f38d92365f11,2,79,55,00:34:55.962,Europe/Madrid,2009-10-25 20:00:00+00:00,2009-10-25 21:34:55+00:00
11,La Liga,Spain,21,2009/2010,69250,2009-11-07,20:00:00.000,Spotify Camp Nou,4e048f1d-9be7-4aea-9447-adbb735f7cf9,2,86,57,00:41:57.074,Europe/Madrid,2009-11-07 19:00:00+00:00,2009-11-07 20:41:57+00:00
11,La Liga,Spain,21,2009/2010,69218,2009-12-05,22:00:00.000,Estadio Abanca-Riazor,9bf1374d-4737-4b9d-9153-7e40fa3f9305,1,26,4,00:26:04.024,Europe/Madrid,2009-12-05 21:00:00+00:00,2009-12-05 21:26:04+00:00
11,La Liga,Spain,21,2009/2010,69218,2009-12-05,22:00:00.000,Estadio Abanca-Riazor,fd1379eb-c4a0-4b16-95c9-f99f3132ec77,2,79,0,00:34:00.228,Europe/Madrid,2009-12-05 21:00:00+00:00,2009-12-05 22:34:00+00:00
11,La Liga,Spain,21,2009/2010,69219,2010-01-10,21:00:00.000,Estadio Heliodoro Rodríguez Lopéz,03ee1b27-967e-4157-b5bc-3be868000453,1,35,16,00:35:16.006,Atlantic/Canary,2010-01-10 21:00:00+00:00,2010-01-10 21:35:16+00:00
11,La Liga,Spain,21,2009/2010,69219,2010-01-10,21:00:00.000,Estadio Heliodoro Rodríguez Lopéz,d465c631-e49d-42a2-82d6-4ef9172352f9,1,46,7,00:46:07.400,Atlantic/Canary,2010-01-10 21:00:00+00:00,2010-01-10 21:46:07+00:00
11,La Liga,Spain,21,2009/2010,69219,2010-01-10,21:00:00.000,Estadio Heliodoro Rodríguez Lopéz,099bc695-142b-41f6-a29d-191c10628507,2,74,57,00:29:57.751,Atlantic/Canary,2010-01-10 21:00:00+00:00,2010-01-10 22:29:57+00:00
11,La Liga,Spain,21,2009/2010,69243,2010-01-16,22:00:00.000,Spotify Camp Nou,6ae2c9a5-659d-4982-8005-ff4c70975212,2,84,23,00:39:23.773,Europe/Madrid,2010-01-16 21:00:00+00:00,2010-01-16 22:39:23+00:00
11,La Liga,Spain,21,2009/2010,69243,2010-01-16,22:00:00.000,Spotify Camp Nou,e1c2fc2a-26dd-463a-9e43-b8e8f33a0c50,2,91,10,00:46:10.404,Europe/Madrid,2010-01-16 21:00:00+00:00,2010-01-16 22:46:10+00:00
11,La Liga,Spain,21,2009/2010,69210,2010-01-23,20:00:00.000,Estadio Municipal José Zorrilla,dca62af4-dfa8-4642-935c-2bf4be716799,2,55,54,00:10:54.965,Europe/Madrid,2010-01-23 19:00:00+00:00,2010-01-23 20:10:54+00:00
11,La Liga,Spain,21,2009/2010,69240,2010-02-06,20:00:00.000,Spotify Camp Nou,ebb4663d-1dd4-4208-b3f1-776f817a8847,1,6,2,00:06:02.451,Europe/Madrid,2010-02-06 19:00:00+00:00,2010-02-06 19:06:02+00:00
11,La Liga,Spain,21,2009/2010,69238,2010-02-27,22:00:00.000,Spotify Camp Nou,e86a876b-3b16-44c2-b596-33ee915c4051,2,83,16,00:38:16.762,Europe/Madrid,2010-02-27 21:00:00+00:00,2010-02-27 22:38:16+00:00
11,La Liga,Spain,21,2009/2010,69226,2010-03-06,20:00:00.000,Power Horse Stadium – Estadio de los Juegos Mediterráneos,46cf6b73-02b4-4298-a314-f28840b25c46,1,41,48,00:41:48.932,Europe/Madrid,2010-03-06 19:00:00+00:00,2010-03-06 19:41:48+00:00
11,La Liga,Spain,21,2009/2010,69226,2010-03-06,20:00:00.000,Power Horse Stadium – Estadio de los Juegos Mediterráneos,eb56fb15-2499-4b47-b59d-8319ca5ad273,2,65,33,00:20:33.096,Europe/Madrid,2010-03-06 19:00:00+00:00,2010-03-06 20:20:33+00:00
11,La Liga,Spain,21,2009/2010,69224,2010-03-14,19:00:00.000,Spotify Camp Nou,44e87dd3-0b4f-44dd-a5f7-ec2bfadf5fb0,2,55,27,00:10:27.966,Europe/Madrid,2010-03-14 18:00:00+00:00,2010-03-14 19:10:27+00:00
11,La Liga,Spain,21,2009/2010,69224,2010-03-14,19:00:00.000,Spotify Camp Nou,ebcd157a-9d62-443a-9dba-99757301db0f,2,81,0,00:36:00.151,Europe/Madrid,2010-03-14 18:00:00+00:00,2010-03-14 19:36:00+00:00
11,La Liga,Spain,21,2009/2010,69224,2010-03-14,19:00:00.000,Spotify Camp Nou,1a3a3429-9c50-4396-adba-4e6e5e2b7479,2,83,5,00:38:05.134,Europe/Madrid,2010-03-14 18:00:00+00:00,2010-03-14 19:38:05+00:00
11,La Liga,Spain,21,2009/2010,69227,2010-03-21,21:00:00.000,Estadio de la Romareda,6e53d231-471e-40f0-abd3-cbc6c302b76a,1,4,16,00:04:16.835,Europe/Madrid,2010-03-21 20:00:00+00:00,2010-03-21 20:04:16+00:00
11,La Liga,Spain,21,2009/2010,69227,2010-03-21,21:00:00.000,Estadio de la Romareda,2537c186-6a91-4265-b31e-638cac99fe05,2,65,13,00:20:13.285,Europe/Madrid,2010-03-21 20:00:00+00:00,2010-03-21 21:20:13+00:00
11,La Liga,Spain,21,2009/2010,69227,2010-03-21,21:00:00.000,Estadio de la Romareda,c30ff685-0258-4d3d-b457-2d0df9cb7611,2,77,38,00:32:38.073,Europe/Madrid,2010-03-21 20:00:00+00:00,2010-03-21 21:32:38+00:00
11,La Liga,Spain,21,2009/2010,69247,2010-04-03,20:00:00.000,Spotify Camp Nou,3151ebfb-2f91-46e6-81cd-e3528e4bb476,2,66,58,00:21:58.978,Europe/Madrid,2010-04-03 18:00:00+00:00,2010-04-03 19:21:58+00:00
11,La Liga,Spain,21,2009/2010,69259,2010-04-10,22:00:00.000,Estadio Santiago Bernabéu,3e75d0a3-c413-48a8-b863-4e36cfb6c35a,1,32,16,00:32:16.638,Europe/Madrid,2010-04-10 20:00:00+00:00,2010-04-10 20:32:16+00:00
11,La Liga,Spain,21,2009/2010,69244,2010-05-01,22:00:00.000,Estadio de la Cerámica,d6900667-0cab-4f00-9427-23c9a14be32a,1,18,10,00:18:10.649,Europe/Madrid,2010-05-01 20:00:00+00:00,2010-05-01 20:18:10+00:00
11,La Liga,Spain,21,2009/2010,69244,2010-05-01,22:00:00.000,Estadio de la Cerámica,639582e4-5d3c-47dd-9908-73da1dc8758f,2,87,46,00:42:46.765,Europe/Madrid,2010-05-01 20:00:00+00:00,2010-05-01 21:42:46+00:00
11,La Liga,Spain,21,2009/2010,69241,2010-05-04,20:00:00.000,Spotify Camp Nou,943e1595-efe6-4b67-968c-4baea7f14c55,1,16,13,00:16:13.796,Europe/Madrid,2010-05-04 18:00:00+00:00,2010-05-04 18:16:13+00:00
11,La Liga,Spain,21,2009/2010,69241,2010-05-04,20:00:00.000,Spotify Camp Nou,09dedc7c-4809-467d-8160-5cd2a9393532,2,92,12,00:47:12.054,Europe/Madrid,2010-05-04 18:00:00+00:00,2010-05-04 19:47:12+00:00
11,La Liga,Spain,21,2009/2010,69239,2010-05-08,21:00:00.000,Estadio Ramón Sánchez Pizjuán,e2a0092e-7796-4c7f-9195-a2d797976ab3,1,4,43,00:04:43.673,Europe/Madrid,2010-05-08 19:00:00+00:00,2010-05-08 19:04:43+00:00
11,La Liga,Spain,21,2009/2010,69242,2010-05-16,19:00:00.000,Spotify Camp Nou,c9258e39-cb0e-4393-8c49-699e3eb2c6cd,2,61,44,00:16:44.314,Europe/Madrid,2010-05-16 17:00:00+00:00,2010-05-16 18:16:44+00:00
